DEPTH,,CALI,RHOB,TNPH,SP,SGR,LLD,LLS,MSFLC,DTLN,DRHO,PERMCORE  .,PHICORE ,GDCORE
FT,,IN,G/C3,DEC,MV,GAPI,OHMM,OHMM,OHMM,US/F,G/C3,MD,FRAC,KGDM
8113.0,8053.0,8.11,2.331,0.162,-11.93,64.51,2.42,2.29,1.63,80.10,0.011,-999,-999,-999
8113.5,8053.5,8.09,2.339,0.161,-11.56,47.06,2.46,2.22,1.56,79.00,0.011,-999,-999,-999
8114.0,8054.0,8.08,2.343,0.171,-11.56,35.61,2.60,2.25,1.61,79.15,0.010,-999,-999,-999
8114.5,8054.5,8.08,2.351,0.180,-11.57,39.38,2.69,2.35,1.71,78.80,0.006,-999,-999,-999
8115.0,8055.0,8.08,2.353,0.184,-11.67,50.41,2.74,2.42,1.78,79.65,0.007,-999,-999,-999
8115.5,8055.5,8.10,2.337,0.187,-11.87,53.67,2.76,2.45,1.81,80.05,0.000,-999,-999,-999
8116.0,8056.0,8.14,2.355,0.187,-11.82,57.90,2.72,2.45,1.80,79.90,0.002,-999,-999,-999
8116.5,8056.5,8.15,2.356,0.185,-11.54,58.50,2.56,2.39,1.75,80.30,0.007,-999,-999,-999
8117.0,8057.0,8.15,2.336,0.190,-11.37,57.26,2.28,2.24,1.67,80.70,0.006,-999,-999,-999
8117.5,8057.5,8.14,2.309,0.187,-10.93,48.05,2.09,2.02,1.53,80.30,0.001,-999,-999,-999
8118.0,8058.0,8.14,2.301,0.179,-10.47,42.78,1.96,1.85,1.37,79.80,0.000,-999,-999,-999
8118.5,8058.5,8.14,2.300,0.174,-9.94,31.95,1.90,1.75,1.23,79.00,-0.004,-999,-999,-999
8119.0,8059.0,8.14,2.316,0.168,-9.56,26.90,1.94,1.70,1.14,78.10,0.005,-999,-999,-999
8119.5,8059.5,8.14,2.315,0.158,-9.17,25.71,2.07,1.75,1.17,77.85,0.006,-999,-999,-999
8120.0,8060.0,8.14,2.317,0.157,-9.00,21.92,2.06,1.83,1.26,78.05,0.001,-999,-999,-999
8120.5,8060.5,8.14,2.317,0.160,-8.67,21.33,2.07,1.83,1.34,78.40,-0.006,-999,-999,-999
8121.0,8061.0,8.14,2.322,0.164,-8.59,21.23,2.11,1.83,1.37,78.20,-0.003,-999,-999,-999
8121.5,8061.5,8.13,2.317,0.157,-8.71,21.72,2.20,1.88,1.38,77.45,-0.005,-999,-999,-999
8122.0,8062.0,8.14,2.321,0.150,-8.50,21.65,2.29,1.94,1.43,77.20,-0.009,-999,-999,-999
8122.5,8062.5,8.14,2.349,0.150,-8.47,20.08,2.35,2.00,1.49,76.60,0.001,-999,-999,-999
8123.0,8063.0,8.14,2.342,0.152,-8.31,18.00,2.33,2.04,1.53,77.50,0.005,-999,-999,-999
8123.5,8063.5,8.13,2.324,0.152,-8.31,17.27,2.18,2.03,1.52,77.40,0.002,-999,-999,-999
8124.0,8064.0,8.13,2.326,0.151,-8.31,18.34,2.14,1.91,1.49,78.00,0.005,-999,-999,-999
8124.5,8064.5,8.14,2.312,0.148,-8.32,18.03,2.13,1.88,1.48,78.40,0.004,-999,-999,-999
8125.0,8065.0,8.13,2.316,0.145,-8.42,18.32,2.10,1.86,1.44,78.75,0.010,-999,-999,-999
8125.5,8065.5,8.13,2.312,0.147,-8.70,19.88,2.16,1.86,1.38,78.50,0.011,-999,-999,-999
8126.0,8066.0,8.13,2.290,0.148,-8.86,20.83,2.27,1.92,1.37,78.30,0.001,-999,-999,-999
8126.5,8066.5,8.12,2.308,0.150,-9.46,21.21,2.36,2.01,1.44,78.25,0.002,-999,-999,-999
8127.0,8067.0,8.13,2.346,0.151,-9.67,24.59,2.48,2.09,1.55,77.81,0.010,-999,-999,-999
8127.5,8067.5,8.12,2.387,0.149,-10.25,26.31,2.60,2.20,1.62,78.70,0.032,-999,-999,-999
8128.0,8068.0,8.13,2.357,0.152,-10.30,26.42,2.56,2.30,1.68,78.10,0.009,-999,-999,-999
8128.5,8068.5,8.12,2.346,0.159,-10.57,27.14,2.41,2.27,1.72,78.00,0.004,-999,-999,-999
8129.0,8069.0,8.12,2.355,0.158,-10.64,28.62,2.30,2.14,1.67,78.35,0.006,-999,-999,-999
8129.5,8069.5,8.12,2.325,0.156,-10.72,25.07,2.19,2.06,1.57,79.10,0.004,-999,-999,-999
8130.0,8070.0,8.12,2.294,0.155,-10.93,22.57,2.20,1.98,1.43,79.60,0.002,-999,-999,-999
8130.5,8070.5,8.12,2.303,0.159,-11.35,26.84,2.38,1.99,1.43,79.70,0.007,-999,-999,-999
8131.0,8071.0,8.12,2.340,0.165,-12.43,32.84,2.67,2.15,1.61,79.50,0.018,-999,-999,-999
8131.5,8071.5,8.15,2.370,0.173,-13.48,44.03,2.99,2.39,1.83,78.85,0.035,-999,-999,-999
8132.0,8072.0,8.15,2.353,0.178,-13.77,49.05,3.17,2.66,2.03,79.79,0.022,-999,-999,-999
